Lot URL,Lot #,Est. Retail Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Title Code,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name
https://www.copart.com/lotDetail/44729474,44729474,"27,399 USD",06/05/2024 01:00 am PKT,2024,HONDA,CIVIC SPOR,2.0L  4,4,2HGFE2F57RH521401,BILL OF SALE- SALVAGE,671 A,ACTUAL,FRONT END,25 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/54775974,54775974,"11,428 USD",06/05/2024 01:00 am PKT,2004,CHEVROLET,SILVERADO,6.6L  8,8,1GCHK23114F116355,BILL OF SALE- SALVAGE,"222,909 A",ACTUAL,FRONT END,25 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/56250374,56250374,0 USD,06/05/2024 01:00 am PKT,2009,TOYOTA,RAV4 LIMIT,3.5L  6,6,2T3BK31V69W006389,CERTIFICATE OF VEHICLE TITLE,"147,653 A",ACTUAL,FRONT END,325 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/71730762,71730762,"19,471 USD",06/05/2024 01:00 am PKT,2016,JEEP,RENEGADE L,2.4L  4,4,ZACCJBDT1GPD01617,PARTS ONLY BILL OF SALE,"80,857 N",NOT ACTUAL,REAR END,0 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/52762084,52762084,0 USD,06/05/2024 01:00 am PKT,2017,KIA,NIRO FE,1.6L  4,4,KNDCB3LC4H5072039,CERTIFICATE OF VEHICLE TITLE,"102,575 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/45324474,45324474,"7,398 USD",06/05/2024 01:00 am PKT,2005,TOYOTA,HIGHLANDER,3.3L  6,6,JTEEP21A250120521,PARTS ONLY BILL OF SALE,"141,357 E",EXEMPT,FRONT END,0 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/51498974,51498974,"18,031 USD",06/05/2024 01:00 am PKT,2018,JEEP,COMPASS SP,2.4L  4,4,3C4NJDAB5JT175844,BILL OF SALE- SALVAGE,"20,187 A",ACTUAL,BURN,0 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/51818634,51818634,0 USD,06/05/2024 01:00 am PKT,2006,HONDA,PILOT EX,3.5L  6,6,5FNYF18656B011540,CERTIFICATE OF VEHICLE TITLE,"293,161 A",ACTUAL,FRONT END,0 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/40670774,40670774,"15,495 USD",06/05/2024 01:00 am PKT,2019,NISSAN,ALTIMA,2.5L  4,4,1N4BL4BV5KC158261,BILL OF SALE- SALVAGE,"66,208 A",ACTUAL,SIDE,25 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/43130874,43130874,"44,110 USD",06/05/2024 01:00 am PKT,2022,MERCEDES-BENZ,GLC 300 4M,2.0L  4,4,W1N0G8EB2NG103495,BILL OF SALE- SALVAGE,"1,308 A",ACTUAL,FRONT END,0 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/50504194,50504194,"32,004 USD",06/05/2024 01:00 am PKT,2022,BMW,X1 XDRIVE2,2.0L  4,4,WBXJG9C0XN5U64765,BILL OF SALE- SALVAGE,"24,577 A",ACTUAL,FRONT END,0 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/50880954,50880954,"32,074 USD",06/05/2024 01:00 am PKT,2018,CHEVROLET,SUBURBAN K,5.3L  8,8,1GNSKHKC1JR268214,BILL OF SALE- SALVAGE,"76,992 A",ACTUAL,SIDE,25 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/50916334,50916334,"5,331 USD",06/05/2024 01:00 am PKT,2015,CHEVROLET,EQUINOX LS,2.4L  4,4,2GNFLEEK1F6397279,BILL OF SALE- SALVAGE,"209,125 A",ACTUAL,FRONT END,0 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/45542444,45542444,"14,810 USD",06/05/2024 01:00 am PKT,2017,FORD,EDGE SEL,3.5L  6,6,2FMPK4J88HBB95176,BILL OF SALE- SALVAGE,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,AK - ANCHORAGE
https://www.copart.com/lotDetail/46145614,46145614,"13,771 USD",06/05/2024 01:00 am PKT,2016,NISSAN,ROGUE S,2.5L  4,4,5N1AT2MTXGC925210,BILL OF SALE- SALVAGE,"94,049 A",ACTUAL,ALL OVER,0 USD,0 USD,0,AK - ANCHORAGE
