url,vin,lot_number,auction,country,sale_branch,seller,auction_date,vehicle_type,year,make,model,color,bodytype,drive,fuel,engine,transmission,images
https://144.202.14.57/lot/143269176-2006-jeep-wrangler-1j4fa44s26p704317,1J4FA44S26P704317,#67196234,Copart,United States,Sc - North Charleston,Insurance company,2024-09-23,Automobile,2006,Jeep,Wrangler /,Red,-,4x4 W/rear Wheel Drv,Gas,4.0 L 6 cyl,Manual,['https://ucars.pro/lot/images/copart/lpp-0824-523a51a5deb6494397e207f97180e06f_ful']
https://144.202.14.57/lot/148659276-2007-chevrolet-silverado-1gcek19j17z607449,1GCEK19J17Z607449,#67295684,Copart,United States,Ga - Savannah,Insurance company,2024-09-23,Automobile,2007,Chevrolet,Silverado,Blue,-,4x4 W/rear Wheel Drv,Gas,5.3 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-360ad175e1e448b0be63cba7d9f82f43_ful']
https://144.202.14.57/lot/144021986-2003-dodge-neon-se-1b3es26c23d145178,1B3ES26C23D145178,#68912044,Copart,United States,Ny - Buffalo,Insurance company,2024-09-23,Automobile,2003,Dodge,Neon Se,Tan,-,Front Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-5cca3168c58c47e99c1b85d53261b311_ful']
https://144.202.14.57/lot/140938226-2003-chevrolet-corvette-1g1yy22g335100949,1G1YY22G335100949,#62283904,Copart,United States,Sc - Spartanburg,Insurance company,2024-09-23,Automobile,2003,Chevrolet,Corvette,Red,-,Rear Wheel Drive,Gas,5.7 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-6d3cb9b844dd4f22a0a7a7733d5307ea_ful']
https://144.202.14.57/lot/145744396-1999-jeep-cherokee-s-1j4ff68s5xl584366,1J4FF68S5XL584366,#69344754,Copart,United States,Ga - Savannah,-,2024-09-23,Automobile,1999,Jeep,Cherokee S,Black,-,4x4 W/rear Wheel Drv,Gas,4.0 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-97435bdf3e6b49429ba2964dbaa17075_ful']
https://144.202.14.57/lot/142140816-2018-land-rover-range-rove-salyl2rn4ja771103,SALYL2RN4JA771103,#61804124,Copart,United States,Ga - Fairburn,-,2024-09-23,Automobile,2018,Land Rover,Range Rove,Black,-,All Wheel Drive,Diesel,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-ed0565cc54324464b8aa1b9ba3581ad5_ful']
https://144.202.14.57/lot/146511686-2013-bmw-x5-xdrive3-5uxzv4c55d0b24151,5UXZV4C55D0B24151,#68611564,Copart,United States,Nj - Trenton,-,2024-09-23,Automobile,2013,Bmw,X5 Xdrive3,White,-,All Wheel Drive,Gas,3.0 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-c49b0f1be50349e9a2fa304fe7d15e58_ful']
https://144.202.14.57/lot/148892946-2011-bmw-m3-wbskg9c54be645555,WBSKG9C54BE645555,#64929884,Copart,United States,Nj - Trenton,-,2024-09-23,Automobile,2011,Bmw,M3,Black,-,Rear Wheel Drive,Gas,4.0 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-9076e7f3789e4896a9143b49117a857e_ful']
https://144.202.14.57/lot/143450806-2020-audi-q5-premium-wa1anafy8l2025949,WA1ANAFY8L2025949,#60805434,Copart,United States,Nc - China Grove,-,2024-09-23,Automobile,2020,Audi,Q5 Premium,Black,-,All Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0624-a95cea59a7d440cfb381f80a99edb53a_ful']
https://144.202.14.57/lot/145483436-2021-kia-forte-fe-3kpf24ad7me414046,3KPF24AD7ME414046,#63438454,Copart,United States,Ky - Louisville,-,2024-09-23,Automobile,2021,Kia,Forte Fe,Blue,-,Front Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-296e86baec0b49bcb8957e38089e98bc_ful']
